timestamp_pc,lectura_cruda,voltaje,porcentaje
 2026- 04- 09 12: 02: 05,0,0.0,0.0
 2026- 04- 09 12: 02: 05,0,0.0,0.0
 2026- 04- 09 12: 02: 06,0,0.0,0.0
 2026- 04- 09 12: 02: 06,0,0.0,0.0
 2026- 04- 09 12: 02: 07,380,0.306,9.0
 2026- 04- 09 12: 02: 07,855,0.689,20.0
 2026- 04- 09 12: 02: 08,1284,1.035,31.0
 2026- 04- 09 12: 02: 08,1601,1.29,39.0
 2026- 04- 09 12: 02: 09,1297,1.045,31.0
 2026- 04- 09 12: 02: 09,592,0.477,14.0
 2026- 04- 09 12: 02: 10,304,0.245,7.0
 2026- 04- 09 12: 02: 10,693,0.558,16.0
 2026- 04- 09 12: 02: 11,1190,0.959,29.0
 2026- 04- 09 12: 02: 11,1264,1.019,30.0
 2026- 04- 09 12: 02: 12,1267,1.021,30.0
 2026- 04- 09 12: 02: 12,1296,1.044,31.0
 2026- 04- 09 12: 02: 13,1343,1.082,32.0
 2026- 04- 09 12: 02: 13,1306,1.052,31.0
 2026- 04- 09 12: 02: 14,1309,1.055,31.0
 2026- 04- 09 12: 02: 14,1291,1.04,31.0
 2026- 04- 09 12: 02: 15,1281,1.032,31.0
 2026- 04- 09 12: 02: 15,1263,1.018,30.0
 2026- 04- 09 12: 02: 16,1251,1.008,30.0
 2026- 04- 09 12: 02: 16,1286,1.036,31.0
 2026- 04- 09 12: 02: 17,1273,1.026,31.0
 2026- 04- 09 12: 02: 17,1299,1.047,31.0
 2026- 04- 09 12: 02: 18,1264,1.019,30.0
 2026- 04- 09 12: 02: 18,1242,1.001,30.0
 2026- 04- 09 12: 02: 19,1233,0.994,30.0
 2026- 04- 09 12: 02: 19,1269,1.023,30.0
 2026- 04- 09 12: 02: 20,1250,1.007,30.0
 2026- 04- 09 12: 02: 20,1275,1.027,31.0
 2026- 04- 09 12: 02: 21,1290,1.04,31.0
 2026- 04- 09 12: 02: 21,1297,1.045,31.0
 2026- 04- 09 12: 02: 22,1269,1.023,30.0
 2026- 04- 09 12: 02: 22,1280,1.032,31.0
 2026- 04- 09 12: 02: 23,1234,0.994,30.0
 2026- 04- 09 12: 02: 23,1268,1.022,30.0
 2026- 04- 09 12: 02: 24,1252,1.009,30.0
 2026- 04- 09 12: 02: 24,1278,1.03,31.0
 2026- 04- 09 12: 02: 25,1279,1.031,31.0
 2026- 04- 09 12: 02: 25,1275,1.027,31.0
 2026- 04- 09 12: 02: 26,1293,1.042,31.0
 2026- 04- 09 12: 02: 26,1280,1.032,31.0
 2026- 04- 09 12: 02: 27,1265,1.019,30.0
 2026- 04- 09 12: 02: 27,1267,1.021,30.0
 2026- 04- 09 12: 02: 28,1311,1.056,32.0
 2026- 04- 09 12: 02: 28,1314,1.059,32.0
 2026- 04- 09 12: 02: 29,1264,1.019,30.0
 2026- 04- 09 12: 02: 29,1246,1.004,30.0
 2026- 04- 09 12: 02: 30,1298,1.046,31.0
 2026- 04- 09 12: 02: 30,1268,1.022,30.0
 2026- 04- 09 12: 02: 31,1234,0.994,30.0
 2026- 04- 09 12: 02: 31,1303,1.05,31.0
 2026- 04- 09 12: 02: 32,1303,1.05,31.0
 2026- 04- 09 12: 02: 32,1250,1.007,30.0
 2026- 04- 09 12: 02: 33,1305,1.052,31.0
 2026- 04- 09 12: 02: 33,1243,1.002,30.0
